name,ra,dec,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z,yAperMag3_AB,yAperMag3Err_AB
SDSS J104706.60-005829.3,161.7775090056364,-0.9748289125234086,21.650238,0.114127666,20.844433,0.029692462,20.572937,0.03457235,20.361937,0.040556177,20.42186,0.15321478,20.5287,0.10656002
SDSS J104712.12-005230.0,161.80053243967723,-0.8750205223847348,21.124018,0.07557664,20.38304,0.023705037,20.041624,0.026506638,19.877361,0.02882364,19.849857,0.0894518,20.0725,0.072323486
SDSS J104714.02-005026.6,161.80841671317478,-0.8407383648280414,21.988028,0.15123083,21.177492,0.036101,20.703651,0.036707394,20.53582,0.04580872,20.256258,0.1254726,20.9235,0.15462202
SDSS J104704.25-005442.6,161.76771621316573,-0.911839600843987,18.272564,0.018334184,17.097504,0.016015599,16.673527,0.019791493,16.520832,0.015106842,16.500551,0.014257068,16.6518,0.0071560023
SDSS J104703.75-005434.7,161.765659649454,-0.9096439951574972,20.565771,0.05038173,18.43211,0.016114667,17.57632,0.01905432,17.25317,0.014669433,17.08938,0.015994953,17.0864,0.009331644
SDSS J104705.91-005906.7,161.7746639015993,-0.9851983417714583,19.332367,0.025559282,18.369375,0.016058957,17.980547,0.019298265,17.840532,0.015241745,17.79344,0.02103971,17.9125,0.013073238
SDSS J104706.42-005605.6,161.77678938931757,-0.9348917491821852,18.352533,0.0189673,16.654787,0.015299785,16.008204,0.018738821,15.760051,0.014263019,15.648622,0.013148234,15.6161,0.0034554705
SDSS J104708.38-010035.3,161.78495489999557,-1.0098248248536064,17.781178,0.017082827,16.22716,0.0152346175,15.632251,0.018702235,15.394019,0.01418128,15.281718,0.012828309,15.296,0.002921923
SDSS J104708.22-010159.7,161.7842712452066,-1.0332739810866916,21.96333,0.18209548,20.82941,0.3165496,20.454796,1.1823252,20.290428,1.320058,20.13803,2.4087267,20.312,0.08897919
SDSS J104715.88-005201.9,161.81619249507665,-0.8671984614623381,22.179348,0.17796573,21.294275,0.039257906,20.914152,0.042056255,20.761724,0.05499335,20.710686,0.18682979,20.9645,0.16267894
SDSS J104718.11-005906.7,161.82549691450942,-0.9851993409058818,21.236473,0.08348779,20.22578,0.022009203,19.810476,0.025163645,19.676895,0.026225472,19.596605,0.077382185,19.7365,0.052872103
SDSS J104725.50-010035.5,161.85627597781848,-1.0098845903540539,22.11639,0.17159617,21.176985,0.037122414,20.849453,0.041374233,20.738928,0.055455253,20.55438,0.16695859,21.1076,0.17522119
SDSS J104726.15-010236.5,161.85899961936633,-1.0434994528826937,21.196709,0.08318148,20.245705,0.022775957,19.978989,0.02641948,19.855211,0.029124122,19.696064,0.08034762,19.9279,0.06297079
